Name,Category Alias,Category Title,Latitude,Longitude,Price,Rating
SOUP Kallio,vegetarian,Vegetarian,60.1870364343619,24.9655186157729,Not Listed,5.0
Americana Pizzeria,pizza,Pizza,60.18048,24.9501,Not Listed,5.0
Happy Garden,chinese,Chinese,60.188549,24.9603004,Most Affordable,4.0
namnam,vietnamese,Vietnamese,60.1880066,24.9533259,Not Listed,5.0
Oppimiskeskus Minerva,collegeuniv,Colleges & Universities,60.175235566064,24.953188890984,Not Listed,4.0
FinDesh,pubs,Pubs,60.18238,24.95383,Not Listed,5.0
Lihakauppa Roslund,burgers,Burgers,60.1897720412185,24.9717521735413,Affordable,4.3
Mikura Sushi,sushi,Sushi Bars,60.1907631,24.9472525,Affordable,4.3
B-Side Bar,bars,Bars,60.1897888,24.9725208,Affordable,5.0
Tislaamo,cocktailbars,Cocktail Bars,60.1903838,24.9720839,Not Listed,5.0
Viola,"scandinavian, restaurants","Scandinavian, Restaurants",60.1759691376373,24.9460696710438,Affordable,4.0
Työväen Arkiston säätiö,libraries,Libraries,60.18566,24.96679,Not Listed,5.0
Camel Cafe,african,African,60.18222,24.94762,Not Listed,5.0
Bites Vallila,burgers,Burgers,60.1956497023996,24.9511537262297,Most Affordable,4.6
KOKORO Sushi,sushi,Sushi Bars,60.19418,24.95073,Not Listed,5.0
Addis Ethiopian Kitchen,ethiopian,Ethiopian,60.19444,24.95611,Not Listed,5.0
Sepia,kebab,Kebab,60.19444,24.95611,Affordable,4.5
Pub Magneetti,bars,Bars,60.193543634868,24.958349085068,Most Affordable,4.2
Vallilan Hammaslääkärikeskus,dentists,Dentists,60.1911392,24.961689,Not Listed,5.0
Kahvila Päijänne,cafeteria,Cafeteria,60.19232,24.9638,Not Listed,5.0
Moko Market & Cafe,homedecor,Home Decor,60.1864332,24.9673314,Affordable,4.3
Just Vege,vegetarian,Vegetarian,60.188456,24.9573376,Most Affordable,4.0
Lemon Grass,thai,Thai,60.1827149210467,24.9496507644653,Affordable,4.0
Tuk Tuk,thai,Thai,60.1886597,24.9561005,Affordable,3.9
BLINIt,russian,Russian,60.18782,24.94535,Most Affordable,3.9
Mäkikupla,bars,Bars,60.1859547635991,24.9602182141077,Most Affordable,3.9
Cafe Talo,bars,Bars,60.1804673,24.9510068,Affordable,3.9
IPI Kulmakuppila,coffee,Coffee & Tea,60.1832450857038,24.953817967325,Affordable,3.9
Mashiro,japanese,Japanese,60.19364,24.9579,Affordable,3.9
Ravintola Carelia,restaurants,Restaurants,60.18112449,24.92728283,Expensive,3.8
Piritta,breakfast_brunch,Breakfast & Brunch,60.1806008050157,24.9406034148194,Affordable,3.8
Zorbas,greek,Greek,60.187561,24.9477806,Affordable,3.8
Tokoinrannan koirapuisto,dog_parks,Dog Parks,60.1816559,24.9399166,Not Listed,3.8
Loung3,bars,Bars,60.1829987,24.9468899,Affordable,3.8
Oopperan grilli,hotdogs,Fast Food,60.1833611,24.9258499,Not Listed,4.0
Roster Helsinki,bars,Bars,60.1680109469658,24.9513089629841,Expensive,4.2
El Fant,wine_bars,Wine Bars,60.16862,24.9542,Not Listed,4.7
Bryggeri,breweries,Breweries,60.1680503,24.9519812,Affordable,4.1
Savotta,scandinavian,Scandinavian,60.1689736101652,24.9530501909639,Most Expensive,4.1
