Foursquare Name,Foursquare Search,Foursquare Category,Latitude,Longitude,Foursquare Popularity,Foursquare Price,Foursquare Rating,Rounded Latitude,Rounded Longitude,ID
Munkan Hammaslääkärit,15007,Dentist,60.197542,24.880515,0.7324857752489331,Not Listed,0.0,60.198,24.881,60.198_24.881
Bistro Maria,13027,Bistro,60.198348,24.877496,0.9520237941290572,Not Listed,0.0,60.198,24.877,60.198_24.877
HSL 1392 Lokkalantie,19043,Bus Stop,60.199123,24.883104,0.9577056123108756,Not Listed,0.0,60.199,24.883,60.199_24.883
HSL 1393 Lokkalantie,19043,Bus Stop,60.199947,24.883681,0.9672426613216089,Not Listed,0.0,60.2,24.884,60.2_24.884
HSL 1403 Professorintie,19043,Bus Stop,60.201197,24.876053,0.2036483253588516,Not Listed,0.0,60.201,24.876,60.201_24.876
Hsl 1404,19043,Bus Stop,60.201241,24.875095,0.930250226302858,Not Listed,0.0,60.201,24.875,60.201_24.875
Naples,13236,Italian Restaurant,60.20133,24.883123,0.9261363636363636,Affordable,0.0,60.201,24.883,60.201_24.883
Vitaali Oy,15007,Dentist,60.197646,24.8805,0.0,Not Listed,0.0,60.198,24.88,60.198_24.88
Munkkiniemen Hammaslääkärit,15007,Dentist,60.197653,24.880605,0.0,Not Listed,0.0,60.198,24.881,60.198_24.881
Ravintola Mauritz,13065,Restaurant,60.198125,24.878108,0.9487747316694684,Not Listed,0.0,60.198,24.878,60.198_24.878
Onniexpress,19043,Bus Stop,60.196611,24.885718,0.5145076296392086,Not Listed,0.0,60.197,24.886,60.197_24.886
Munkkiniemen Koirapuisto,16033,Dog Park,60.202061,24.864828,0.9625145480408638,Not Listed,0.0,60.202,24.865,60.202_24.865
HSL 1394 Niemenmäki,19043,Bus Stop,60.201959,24.881451,0.9308887236518816,Not Listed,0.0,60.202,24.881,60.202_24.881
Delivo Oy,13032,"Cafe, Coffee, and Tea House",60.198076,24.878168,0.0,Not Listed,0.0,60.198,24.878,60.198_24.878
Hammaslääkäri Virkkunen-Jousmäki Liisa,15007,Dentist,60.195756,24.881338,0.0,Not Listed,0.0,60.196,24.881,60.196_24.881
Fazer Café Munkkivuori,13034,Café,60.205807,24.877545,0.9707988490883228,Expensive,6.1,60.206,24.878,60.206_24.878
Pizza Hut Munkkivuori,13064,Pizzeria,60.206137,24.878611,0.9745490107332212,Most Affordable,5.9,60.206,24.879,60.206_24.879
HSL 1395 Niemenmäki,19043,Bus Stop,60.202679,24.882042,0.9495425449372816,Not Listed,0.0,60.203,24.882,60.203_24.882
Kanala,13007,Beer Garden,60.204588,24.874059,0.900410578042157,Most Affordable,0.0,60.205,24.874,60.205_24.874
HSL 1485 Munkkivuoren ostoskeskus,19043,Bus Stop,60.205652,24.878412,0.990810487521014,Not Listed,0.0,60.206,24.878,60.206_24.878
Hammasklinikka,15007,Dentist,60.205709,24.877664,0.1321527867580499,Not Listed,0.0,60.206,24.878,60.206_24.878
HSL H1377 Munkkivuoren kirkko,19043,Bus Stop,60.205776,24.876226,0.0179749127117548,Not Listed,0.0,60.206,24.876,60.206_24.876
Ristorante E’Milano,13236,Italian Restaurant,60.205962,24.876677,0.2877036725720936,Affordable,0.0,60.206,24.877,60.206_24.877
HSL 1397 Munkkivuori,19043,Bus Stop,60.205791,24.880616,0.9319313332471229,Not Listed,0.0,60.206,24.881,60.206_24.881
HSL 1396 Munkkivuori,19043,Bus Stop,60.206154,24.87972,0.9329335316177424,Not Listed,0.0,60.206,24.88,60.206_24.88
Ravintola Freeesh,13276,Sushi Restaurant,60.207125,24.880118,0.2831533686796845,Affordable,0.0,60.207,24.88,60.207_24.88
Lulu Thai Restaurant,13352,Thai Restaurant,60.207778,24.88712,0.9633227725332988,Affordable,0.0,60.208,24.887,60.208_24.887
Talin perhepolku,16019,Hiking Trail,60.20819,24.878704,0.963880447433079,Not Listed,0.0,60.208,24.879,60.208_24.879
Ooster,13025,Wine Bar,60.171704,24.940469,0.9973571059097376,Affordable,5.8,60.172,24.94,60.172_24.94
Club Lounge,13013,Hotel Bar,60.179946,24.927046,0.98998609853873,Expensive,0.0,60.18,24.927,60.18_24.927
Kaupunginpuutarha,13065,Restaurant,60.186268,24.931543,0.9827929005560584,Not Listed,0.0,60.186,24.932,60.186_24.932
Kuntatalo,13065,Restaurant,60.183954,24.940686,0.994689965084702,Not Listed,0.0,60.184,24.941,60.184_24.941
Buongiorno Caffe,13034,Café,60.175087,24.919077,0.9488878830984094,Most Affordable,9.2,60.175,24.919,60.175_24.919
HSL 1280 Caloniuksenkatu,19043,Bus Stop,60.174416,24.918426,0.8826134747187379,Not Listed,0.0,60.174,24.918,60.174_24.918
Sagayoga,18028,Yoga Studio,60.174163,24.919412,0.1463775378249062,Not Listed,0.0,60.174,24.919,60.174_24.919
Sushi Forest,13276,Sushi Restaurant,60.171357,24.919894,0.9942939350834088,Affordable,0.0,60.171,24.92,60.171_24.92
Ravintola Töölö,13336,Scandinavian Restaurant,60.171672,24.923235,0.9847730505625244,Affordable,0.0,60.172,24.923,60.172_24.923
