Yelp Name,Yelp Search,Yelp Category,Latitude,Longitude,Yelp Price,Yelp Rating,Rounded Latitude,Rounded Longitude,ID
Kahvila Päijänne,cafeteria,Cafeteria,60.19232,24.9638,Not Listed,5.0,60.192,24.964,60.192_24.964
Moko Market & Cafe,homedecor,Home Decor,60.1864332,24.9673314,Affordable,4.3,60.186,24.967,60.186_24.967
Just Vege,vegetarian,Vegetarian,60.188456,24.9573376,Most Affordable,4.0,60.188,24.957,60.188_24.957
Lemon Grass,thai,Thai,60.1827149210467,24.9496507644653,Affordable,4.0,60.183,24.95,60.183_24.95
Tuk Tuk,thai,Thai,60.1886597,24.9561005,Affordable,3.9,60.189,24.956,60.189_24.956
BLINIt,russian,Russian,60.18782,24.94535,Most Affordable,3.9,60.188,24.945,60.188_24.945
Mäkikupla,bars,Bars,60.1859547635991,24.9602182141077,Most Affordable,3.9,60.186,24.96,60.186_24.96
Cafe Talo,bars,Bars,60.1804673,24.9510068,Affordable,3.9,60.18,24.951,60.18_24.951
IPI Kulmakuppila,coffee,Coffee & Tea,60.1832450857038,24.953817967325,Affordable,3.9,60.183,24.954,60.183_24.954
Mashiro,japanese,Japanese,60.19364,24.9579,Affordable,3.9,60.194,24.958,60.194_24.958
Ravintola Carelia,restaurants,Restaurants,60.18112449,24.92728283,Expensive,3.8,60.181,24.927,60.181_24.927
Piritta,breakfast_brunch,Breakfast & Brunch,60.1806008050157,24.9406034148194,Affordable,3.8,60.181,24.941,60.181_24.941
Zorbas,greek,Greek,60.187561,24.9477806,Affordable,3.8,60.188,24.948,60.188_24.948
Tokoinrannan koirapuisto,dog_parks,Dog Parks,60.1816559,24.9399166,Not Listed,3.8,60.182,24.94,60.182_24.94
Loung3,bars,Bars,60.1829987,24.9468899,Affordable,3.8,60.183,24.947,60.183_24.947
Oopperan grilli,hotdogs,Fast Food,60.1833611,24.9258499,Not Listed,4.0,60.183,24.926,60.183_24.926
Roster Helsinki,bars,Bars,60.1680109469658,24.9513089629841,Expensive,4.2,60.168,24.951,60.168_24.951
El Fant,wine_bars,Wine Bars,60.16862,24.9542,Not Listed,4.7,60.169,24.954,60.169_24.954
Bryggeri,breweries,Breweries,60.1680503,24.9519812,Affordable,4.1,60.168,24.952,60.168_24.952
Savotta,scandinavian,Scandinavian,60.1689736101652,24.9530501909639,Most Expensive,4.1,60.169,24.953,60.169_24.953
Kappeli,coffee,Coffee & Tea,60.167475660298,24.950361062367,Expensive,4.1,60.167,24.95,60.167_24.95
Chapter,cocktailbars,Cocktail Bars,60.1690125645362,24.9527980014682,Affordable,4.3,60.169,24.953,60.169_24.953
Olo Garden,scandinavian,Scandinavian,60.16832,24.9549,Not Listed,5.0,60.168,24.955,60.168_24.955
Toripojat,localflavor,Local Flavor,60.1677101472136,24.9531269073486,Not Listed,4.3,60.168,24.953,60.168_24.953
Thirsty Scholar,pubs,Pubs,60.1717682,24.9499893,Not Listed,5.0,60.172,24.95,60.172_24.95
Purjelaiva Kathrina,tours,Tours,60.1642036437988,24.952127456665,Not Listed,5.0,60.164,24.952,60.164_24.952
Block by Dylan,scandinavian,Scandinavian,60.1669083,24.9516296,Affordable,4.0,60.167,24.952,60.167_24.952
Kuunari Kathrina,restaurants,Restaurants,60.1669502,24.9524593,Not Listed,5.0,60.167,24.952,60.167_24.952
Odent,dentists,Dentists,60.1718483,24.9559593,Not Listed,5.0,60.172,24.956,60.172_24.956
Unicafe Rotunda,restaurants,Restaurants,60.1703186,24.9500008,Most Affordable,4.0,60.17,24.95,60.17_24.95
Keko,food,Food,60.1725082,24.9538307,Most Affordable,4.0,60.173,24.954,60.173_24.954
Puosun kellari,steak,Steakhouses,60.16691,24.95163,Not Listed,5.0,60.167,24.952,60.167_24.952
Rugosa,modern_european,Modern European,60.15439,24.88169,Not Listed,5.0,60.154,24.882,60.154_24.882
Thai & China,asianfusion,Asian Fusion,60.1535683,24.8808308,Affordable,3.8,60.154,24.881,60.154_24.881
Persilja,mediterranean,Mediterranean,60.1580811,24.8809795,Affordable,3.8,60.158,24.881,60.158_24.881
Telakka Bistro,modern_european,Modern European,60.1551650504214,24.8866196309568,Affordable,3.8,60.155,24.887,60.155_24.887
Cafe Bar '52,restaurants,Restaurants,60.1542816,24.8799858,Most Affordable,3.3,60.154,24.88,60.154_24.88
Ravintola Lumbini,himalayan,Himalayan/Nepalese,60.1543312,24.8866596,Most Affordable,4.0,60.154,24.887,60.154_24.887
Bistro Pianissimo,saunas,Saunas,60.153511,24.8859901,Not Listed,3.5,60.154,24.886,60.154_24.886
LimOne,pizza,Pizza,60.1510503644545,24.8854785785079,Most Affordable,3.5,60.151,24.885,60.151_24.885
Blue Peter,seafood,Seafood,60.1516304,24.8915405,Affordable,2.7,60.152,24.892,60.152_24.892
Lauttasaaren Kirjasto,libraries,Libraries,60.15844,24.88321,Not Listed,2.7,60.158,24.883,60.158_24.883
Wanha Herra,pubs,Pubs,60.14898,24.8827399,Not Listed,3.0,60.149,24.883,60.149_24.883
Bar West,bars,Bars,60.1628685,24.7914009,Not Listed,3.0,60.163,24.791,60.163_24.791
Ravintola Bistro Piratti,pubs,Pubs,60.1586609,24.8763504,Not Listed,2.5,60.159,24.876,60.159_24.876
Paseo,coffee,Coffee & Tea,60.1467814952335,24.8832369775883,Not Listed,2.0,60.147,24.883,60.147_24.883
Zakura Sushi,japanese,Japanese,60.1586952892186,24.8767032649154,Not Listed,2.0,60.159,24.877,60.159_24.877
Teng's Mansion,chinese,Chinese,60.1586609,24.8763504,Not Listed,2.0,60.159,24.876,60.159_24.876
