Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating,Free Bikes
Ravintola Mount Kailash,0.9867127893443683,Not Listed,,,,13194,Himalayan Restaurant,60.158,24.921,7.6,0.0
Cheefood Bistro,0.2333263287210655,Not Listed,,,,13027,Bistro,60.158,24.921,0.0,0.0
,,,,Basbas & Staff,Expensive,wine_bars,Wine Bars,60.158,24.934,9.0,0.0
Kaffa Roastery,0.992038988749515,Affordable,,,,13034,Café,60.158,24.934,9.0,0.0
BasBas Kulma,0.9713646062330272,Not Listed,,,,13065,Restaurant,60.158,24.934,8.4,0.0
Forza,0.9847892150523728,Most Affordable,,,,13064,Pizzeria,60.158,24.934,8.0,0.0
,,,,Baskeri &  Basso,Affordable,bistros,Bistros,60.158,24.935,9.6,0.0
,,,,Ravintola Il Bucatino,Expensive,italian,Italian,60.158,24.935,9.4,0.0
,,,,Guo Ji,Not Listed,chinese,Chinese,60.158,24.936,10.0,13.0
,,,,Seaside Garden,Most Affordable,chinese,Chinese,60.158,24.936,8.0,13.0
,,,,Restroom,Affordable,bars,Bars,60.158,24.937,7.6,0.0
,,,,La Tartufata,Not Listed,gourmet,Specialty Food,60.158,24.942,10.0,0.0
,,,,Chef & Sommelier,Most Expensive,scandinavian,Scandinavian,60.158,24.943,9.6,0.0
,,,,Factory St. Gallery,Most Affordable,galleries,Art Galleries,60.158,24.943,8.0,0.0
,,,,Ora,Not Listed,scandinavian,Scandinavian,60.158,24.943,10.0,0.0
Moola,0.3551904176904177,Not Listed,Moola,,,18028,Yoga Studio,60.158,24.945,0.0,6.0
La Bottega,0.9179813785076943,Affordable,,,,13236,Italian Restaurant,60.158,24.945,8.4,6.0
Phở Nam Ly,0.9407894736842104,Affordable,,,,13379,Vietnamese Restaurant,60.158,24.945,0.0,6.0
,,,,Central,Affordable,modern_european,Modern European,60.158,24.946,7.4,0.0
Salakapakka Wapaus&Wastuu,0.2325665976981766,Expensive,,,,13021,Speakeasy,60.158,24.947,0.0,0.0
Ravintola Jura,0.4468511573774731,Expensive,Ravintola Natura,,,13148,French Restaurant,60.158,24.949,7.4,0.0
Hammaslääkäri Olli-Veli Kantola,0.0,Not Listed,,,,15007,Dentist,60.158,24.952,0.0,0.0
Pörssiravintola Oy,0.0,Not Listed,,,,13065,Restaurant,60.158,24.953,0.0,0.0
Kaivohuone,0.9795438380964696,Expensive,Kahvihuone,,,13003,Bar,60.158,24.956,6.5,0.0
Nisu-Aitta Oy,0.0,Not Listed,,,,13065,Restaurant,60.158,24.956,0.0,0.0
GM Oulu Oy,0.0,Not Listed,,,,13065,Restaurant,60.158,24.956,0.0,0.0
Helsingin Kaivohuone Oy,0.0,Not Listed,,,,13065,Restaurant,60.158,24.956,0.0,0.0
HSL E4418 Finnoonsilta,0.0598224747596346,Not Listed,,,,19043,Bus Stop,60.159,24.707,0.0,0.0
Ravintola Freja,0.6818028603072182,Not Listed,Ravintola Fan,,,13065,Restaurant,60.159,24.736,0.0,0.0
